sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
1,0.032365523,0,
2,0.132450357,0,
3,0.232535191,0,
4,0.332620025,0,
5,0.432704858,0,
6,0.532789692,0,
7,0.632874526,0,
8,0.73295936,0,
9,0.833044194,0,
10,0.933129027,0,
11,1.033213861,0,
12,1.133298695,0,
13,1.233383529,0,
14,1.333468363,0,
15,1.433553196,0,
16,1.53363803,0,
17,1.633722864,0,
18,1.733807698,0,
19,1.833892532,0,
20,1.933977365,0,
21,2.034062199,0,
22,2.134147033,0,
23,2.234231867,0,
24,2.334316701,0,
25,2.434401534,0,
26,2.534486368,0,
27,2.634571202,0,
28,2.734656036,0,
29,2.83474087,0,
30,2.934825704,0,
31,3.034910537,0,
32,3.134995371,0,
33,3.235080205,0,
34,3.335165039,0,
35,3.435249873,0,
36,3.535334706,0,
37,3.63541954,0,
38,3.735504374,0,
39,3.835589208,1,
40,3.935674042,3,
41,4.035758875,15,
42,4.135843709,31,
43,4.235928543,87,
44,4.336013377,206,
45,4.436098211,384,
46,4.536183044,550,
47,4.636267878,794,
48,4.736352712,1001,
49,4.836437546,1111,
50,4.93652238,1258,
51,5.036607213,1298,
52,5.136692047,1348,
53,5.236776881,1359,
54,5.336861715,1482,
55,5.436946549,1467,
56,5.537031382,1407,
57,5.637116216,1396,
58,5.73720105,1465,
59,5.837285884,1390,
60,5.937370718,1397,
61,6.037455551,1463,
62,6.137540385,1435,
63,6.237625219,1458,
64,6.337710053,1419,
65,6.437794887,1404,
66,6.53787972,1503,
67,6.637964554,1363,
68,6.738049388,1365,
69,6.838134222,1385,
70,6.938219056,1317,
71,7.038303889,1300,
72,7.138388723,1344,
73,7.238473557,1374,
74,7.338558391,1393,
75,7.438643225,1317,
76,7.538728058,1334,
77,7.638812892,1274,
78,7.738897726,1281,
79,7.83898256,1343,
80,7.939067394,1266,
81,8.039152227,1281,
82,8.139237061,1238,
83,8.239321895,1159,
84,8.339406729,1277,
85,8.439491563,1221,
86,8.539576396,1268,
87,8.63966123,1276,
88,8.739746064,1258,
89,8.839830898,1266,
90,8.939915732,1271,
91,9.040000565,1231,
92,9.140085399,1236,
93,9.240170233,1209,
94,9.340255067,1289,
95,9.440339901,1189,
96,9.540424734,1206,
97,9.640509568,1194,
98,9.740594402,1172,
99,9.840679236,1230,
100,9.94076407,1145,
101,10.0408489,1231,
102,10.14093374,1118,
103,10.24101857,1223,
